simple,IGN pts
"[0.1440103  0.1440103  0.1440103  0.1440103  0.1440103  0.1440103
 0.1440103  0.1440103  0.1440103  0.1440103  0.1440103  0.1440103
 0.1440103  0.1440103  0.36080486 0.3472552 ]","[21.39974243 21.39974243 21.39974243 21.39974243 21.39974243 21.39974243
 21.39974243 21.39974243 21.39974243 21.39974243 21.39974243 21.39974243
 21.39974243 21.39974243 15.97987848 16.31861997]"
"[0.1440103  1.76996949 1.22798309 0.9569899  0.79439398 0.6859967
 0.60857007 0.5505001  0.50533457 0.46920214 0.43963925 0.4150035
 0.39415787 0.37629019 0.36080486 0.3472552 ]","[ 21.39974243 -19.24923724  -5.69957735   1.0752526    5.14015056
   7.85008254   9.78574824  11.23749752  12.36663584  13.2699465
  14.00901886  14.62491249  15.14605325  15.59274534  15.97987848
  16.31861997]"
"[0.1440103 0.1440103 0.1440103 0.1440103 0.1440103 0.1440103 0.1440103
 0.1440103 0.1440103 0.1440103 0.1440103 0.1440103 0.1440103 0.1440103
 0.1440103 0.1440103]","[21.39974243 21.39974243 21.39974243 21.39974243 21.39974243 21.39974243
 21.39974243 21.39974243 21.39974243 21.39974243 21.39974243 21.39974243
 21.39974243 21.39974243 21.39974243 21.39974243]"
"[0.1440103  0.1440103  1.22798309 0.9569899  0.79439398 0.6859967
 0.60857007 0.5505001  0.50533457 0.46920214 0.43963925 0.4150035
 0.39415787 0.37629019 0.57759942 0.5505001 ]","[21.39974243 21.39974243 -5.69957735  1.0752526   5.14015056  7.85008254
  9.78574824 11.23749752 12.36663584 13.2699465  14.00901886 14.62491249
 15.14605325 15.59274534 10.56001452 11.23749752]"
"[0.1440103 0.1440103 0.1440103 0.1440103 0.1440103 0.1440103 0.1440103
 0.1440103 0.1440103 0.1440103 0.1440103 0.1440103 0.1440103 0.1440103
 0.1440103 0.1440103]","[21.39974243 21.39974243 21.39974243 21.39974243 21.39974243 21.39974243
 21.39974243 21.39974243 21.39974243 21.39974243 21.39974243 21.39974243
 21.39974243 21.39974243 21.39974243 21.39974243]"
"[0.1440103  0.1440103  0.1440103  0.9569899  0.79439398 0.6859967
 0.60857007 0.5505001  0.50533457 0.46920214 0.43963925 0.4150035
 0.39415787 0.37629019 0.36080486 0.3472552 ]","[21.39974243 21.39974243 21.39974243  1.0752526   5.14015056  7.85008254
  9.78574824 11.23749752 12.36663584 13.2699465  14.00901886 14.62491249
 15.14605325 15.59274534 15.97987848 16.31861997]"
"[0.1440103  0.1440103  1.22798309 0.9569899  0.79439398 0.6859967
 0.60857007 0.5505001  0.50533457 0.46920214 0.73526819 0.6859967
 0.64430544 0.60857007 0.57759942 0.5505001 ]","[21.39974243 21.39974243 -5.69957735  1.0752526   5.14015056  7.85008254
  9.78574824 11.23749752 12.36663584 13.2699465   6.61829528  7.85008254
  8.89236407  9.78574824 10.56001452 11.23749752]"
"[0.1440103  0.1440103  0.1440103  0.1440103  0.1440103  0.1440103
 0.1440103  0.5505001  0.86665883 0.79439398 0.73526819 0.6859967
 0.64430544 0.60857007 0.57759942 0.753745  ]","[21.39974243 21.39974243 21.39974243 21.39974243 21.39974243 21.39974243
 21.39974243 11.23749752  3.33352925  5.14015056  6.61829528  7.85008254
  8.89236407  9.78574824 10.56001452  6.15637506]"
"[0.1440103 0.1440103 0.1440103 0.1440103 0.1440103 0.1440103 0.1440103
 0.1440103 0.1440103 0.1440103 0.1440103 0.1440103 0.1440103 0.1440103
 0.1440103 0.1440103]","[21.39974243 21.39974243 21.39974243 21.39974243 21.39974243 21.39974243
 21.39974243 21.39974243 21.39974243 21.39974243 21.39974243 21.39974243
 21.39974243 21.39974243 21.39974243 21.39974243]"
"[0.1440103  0.1440103  0.1440103  0.1440103  0.1440103  0.1440103
 0.1440103  0.1440103  0.1440103  0.1440103  0.1440103  0.1440103
 0.1440103  0.37629019 0.36080486 0.5505001 ]","[21.39974243 21.39974243 21.39974243 21.39974243 21.39974243 21.39974243
 21.39974243 21.39974243 21.39974243 21.39974243 21.39974243 21.39974243
 21.39974243 15.59274534 15.97987848 11.23749752]"
"[0.1440103  0.1440103  0.1440103  0.1440103  0.1440103  0.1440103
 0.1440103  0.5505001  0.50533457 0.46920214 0.43963925 0.4150035
 0.39415787 0.37629019 0.36080486 0.3472552 ]","[21.39974243 21.39974243 21.39974243 21.39974243 21.39974243 21.39974243
 21.39974243 11.23749752 12.36663584 13.2699465  14.00901886 14.62491249
 15.14605325 15.59274534 15.97987848 16.31861997]"
"[0.1440103  0.1440103  0.1440103  0.1440103  0.1440103  0.1440103
 0.1440103  0.1440103  0.1440103  0.1440103  0.43963925 0.4150035
 0.39415787 0.37629019 0.36080486 0.3472552 ]","[21.39974243 21.39974243 21.39974243 21.39974243 21.39974243 21.39974243
 21.39974243 21.39974243 21.39974243 21.39974243 14.00901886 14.62491249
 15.14605325 15.59274534 15.97987848 16.31861997]"
"[0.1440103  0.1440103  0.1440103  0.9569899  0.79439398 0.6859967
 0.60857007 0.5505001  0.50533457 0.46920214 0.43963925 0.4150035
 0.39415787 0.37629019 0.36080486 0.3472552 ]","[21.39974243 21.39974243 21.39974243  1.0752526   5.14015056  7.85008254
  9.78574824 11.23749752 12.36663584 13.2699465  14.00901886 14.62491249
 15.14605325 15.59274534 15.97987848 16.31861997]"
"[0.1440103  0.1440103  0.1440103  0.1440103  0.1440103  0.6859967
 0.60857007 0.9569899  0.86665883 0.79439398 0.73526819 0.6859967
 0.64430544 0.60857007 0.57759942 0.5505001 ]","[21.39974243 21.39974243 21.39974243 21.39974243 21.39974243  7.85008254
  9.78574824  1.0752526   3.33352925  5.14015056  6.61829528  7.85008254
  8.89236407  9.78574824 10.56001452 11.23749752]"
"[3.39592868 3.39592868 2.31195589 1.76996949 1.44477765 1.22798309
 1.07312984 1.36347969 1.22798309 1.11958581 1.03089713 0.9569899
 0.894453   0.84084995 0.79439398 0.753745  ]","[-59.89821691 -59.89821691 -32.79889713 -19.24923724 -11.1194413
  -5.69957735  -1.82824595  -9.08699232  -5.69957735  -2.98964537
  -0.7724283    1.0752526    2.63867489   3.97875115   5.14015056
   6.15637506]"
"[0.1440103  0.1440103  0.1440103  0.1440103  0.1440103  0.6859967
 0.60857007 0.9569899  0.86665883 0.79439398 0.73526819 0.6859967
 0.64430544 0.60857007 0.57759942 0.5505001 ]","[21.39974243 21.39974243 21.39974243 21.39974243 21.39974243  7.85008254
  9.78574824  1.0752526   3.33352925  5.14015056  6.61829528  7.85008254
  8.89236407  9.78574824 10.56001452 11.23749752]"
"[0.1440103  0.1440103  0.1440103  0.1440103  0.1440103  0.1440103
 0.1440103  0.1440103  0.1440103  0.1440103  0.1440103  0.4150035
 0.39415787 0.37629019 0.36080486 0.5505001 ]","[21.39974243 21.39974243 21.39974243 21.39974243 21.39974243 21.39974243
 21.39974243 21.39974243 21.39974243 21.39974243 21.39974243 14.62491249
 15.14605325 15.59274534 15.97987848 11.23749752]"
"[3.39592868 1.76996949 1.22798309 0.9569899  0.79439398 0.6859967
 0.60857007 0.5505001  0.50533457 0.46920214 0.43963925 0.4150035
 0.64430544 0.60857007 0.57759942 0.5505001 ]","[-59.89821691 -19.24923724  -5.69957735   1.0752526    5.14015056
   7.85008254   9.78574824  11.23749752  12.36663584  13.2699465
  14.00901886  14.62491249   8.89236407   9.78574824  10.56001452
  11.23749752]"
"[0.1440103  0.1440103  0.1440103  0.1440103  0.79439398 0.6859967
 0.60857007 0.5505001  0.50533457 0.46920214 0.43963925 0.4150035
 0.39415787 0.60857007 0.57759942 0.5505001 ]","[21.39974243 21.39974243 21.39974243 21.39974243  5.14015056  7.85008254
  9.78574824 11.23749752 12.36663584 13.2699465  14.00901886 14.62491249
 15.14605325  9.78574824 10.56001452 11.23749752]"
"[0.1440103  0.1440103  0.1440103  0.1440103  0.1440103  0.6859967
 0.60857007 0.5505001  0.50533457 0.46920214 0.43963925 0.4150035
 0.39415787 0.37629019 0.36080486 0.3472552 ]","[21.39974243 21.39974243 21.39974243 21.39974243 21.39974243  7.85008254
  9.78574824 11.23749752 12.36663584 13.2699465  14.00901886 14.62491249
 15.14605325 15.59274534 15.97987848 16.31861997]"
"[3.39592868 3.39592868 2.31195589 1.76996949 1.44477765 1.22798309
 1.07312984 0.9569899  0.86665883 0.79439398 0.73526819 0.6859967
 0.64430544 0.60857007 0.57759942 0.5505001 ]","[-59.89821691 -59.89821691 -32.79889713 -19.24923724 -11.1194413
  -5.69957735  -1.82824595   1.0752526    3.33352925   5.14015056
   6.61829528   7.85008254   8.89236407   9.78574824  10.56001452
  11.23749752]"
"[3.39592868 1.76996949 1.22798309 0.9569899  0.79439398 0.6859967
 0.60857007 0.5505001  0.50533457 0.46920214 0.43963925 0.4150035
 0.39415787 0.37629019 0.36080486 0.3472552 ]","[-59.89821691 -19.24923724  -5.69957735   1.0752526    5.14015056
   7.85008254   9.78574824  11.23749752  12.36663584  13.2699465
  14.00901886  14.62491249  15.14605325  15.59274534  15.97987848
  16.31861997]"
"[0.1440103  0.1440103  0.1440103  0.1440103  0.1440103  0.1440103
 0.1440103  0.1440103  0.1440103  0.1440103  0.1440103  0.1440103
 0.39415787 0.37629019 0.36080486 0.5505001 ]","[21.39974243 21.39974243 21.39974243 21.39974243 21.39974243 21.39974243
 21.39974243 21.39974243 21.39974243 21.39974243 21.39974243 21.39974243
 15.14605325 15.59274534 15.97987848 11.23749752]"
"[0.1440103  0.1440103  0.1440103  0.1440103  0.1440103  0.1440103
 0.1440103  0.1440103  0.1440103  0.46920214 0.43963925 0.4150035
 0.39415787 0.37629019 0.36080486 0.3472552 ]","[21.39974243 21.39974243 21.39974243 21.39974243 21.39974243 21.39974243
 21.39974243 21.39974243 21.39974243 13.2699465  14.00901886 14.62491249
 15.14605325 15.59274534 15.97987848 16.31861997]"
"[0.1440103 0.1440103 0.1440103 0.1440103 0.1440103 0.1440103 0.1440103
 0.1440103 0.1440103 0.1440103 0.1440103 0.1440103 0.1440103 0.1440103
 0.1440103 0.1440103]","[21.39974243 21.39974243 21.39974243 21.39974243 21.39974243 21.39974243
 21.39974243 21.39974243 21.39974243 21.39974243 21.39974243 21.39974243
 21.39974243 21.39974243 21.39974243 21.39974243]"
"[0.1440103  0.1440103  0.1440103  0.1440103  0.79439398 0.6859967
 0.60857007 0.5505001  0.50533457 0.46920214 0.43963925 0.4150035
 0.39415787 0.37629019 0.36080486 0.3472552 ]","[21.39974243 21.39974243 21.39974243 21.39974243  5.14015056  7.85008254
  9.78574824 11.23749752 12.36663584 13.2699465  14.00901886 14.62491249
 15.14605325 15.59274534 15.97987848 16.31861997]"
"[0.1440103 0.1440103 0.1440103 0.1440103 0.1440103 0.1440103 0.1440103
 0.1440103 0.1440103 0.1440103 0.1440103 0.1440103 0.1440103 0.1440103
 0.1440103 0.1440103]","[21.39974243 21.39974243 21.39974243 21.39974243 21.39974243 21.39974243
 21.39974243 21.39974243 21.39974243 21.39974243 21.39974243 21.39974243
 21.39974243 21.39974243 21.39974243 21.39974243]"
"[0.1440103  0.1440103  0.1440103  0.1440103  0.1440103  0.1440103
 0.1440103  0.1440103  0.1440103  0.1440103  0.43963925 0.4150035
 0.39415787 0.37629019 0.36080486 0.3472552 ]","[21.39974243 21.39974243 21.39974243 21.39974243 21.39974243 21.39974243
 21.39974243 21.39974243 21.39974243 21.39974243 14.00901886 14.62491249
 15.14605325 15.59274534 15.97987848 16.31861997]"
"[0.1440103  0.1440103  0.1440103  0.1440103  0.79439398 1.22798309
 1.07312984 0.9569899  0.86665883 0.79439398 0.73526819 0.6859967
 0.64430544 0.60857007 0.57759942 0.5505001 ]","[21.39974243 21.39974243 21.39974243 21.39974243  5.14015056 -5.69957735
 -1.82824595  1.0752526   3.33352925  5.14015056  6.61829528  7.85008254
  8.89236407  9.78574824 10.56001452 11.23749752]"
"[0.1440103  0.1440103  0.1440103  0.9569899  0.79439398 0.6859967
 0.60857007 0.9569899  0.86665883 1.11958581 1.03089713 0.9569899
 0.894453   1.07312984 1.01118854 0.9569899 ]","[21.39974243 21.39974243 21.39974243  1.0752526   5.14015056  7.85008254
  9.78574824  1.0752526   3.33352925 -2.98964537 -0.7724283   1.0752526
  2.63867489 -1.82824595 -0.27971339  1.0752526 ]"
"[0.1440103  0.1440103  0.1440103  0.9569899  0.79439398 0.6859967
 1.07312984 0.9569899  0.86665883 0.79439398 0.73526819 0.6859967
 0.64430544 0.60857007 0.57759942 0.5505001 ]","[21.39974243 21.39974243 21.39974243  1.0752526   5.14015056  7.85008254
 -1.82824595  1.0752526   3.33352925  5.14015056  6.61829528  7.85008254
  8.89236407  9.78574824 10.56001452 11.23749752]"
"[0.1440103  0.1440103  0.1440103  0.1440103  0.1440103  0.1440103
 0.1440103  0.5505001  0.50533457 0.46920214 0.43963925 0.4150035
 0.64430544 0.60857007 0.57759942 0.5505001 ]","[21.39974243 21.39974243 21.39974243 21.39974243 21.39974243 21.39974243
 21.39974243 11.23749752 12.36663584 13.2699465  14.00901886 14.62491249
  8.89236407  9.78574824 10.56001452 11.23749752]"
"[0.1440103  0.1440103  0.1440103  0.1440103  0.79439398 1.22798309
 1.07312984 0.9569899  0.86665883 0.79439398 0.73526819 0.6859967
 0.894453   0.84084995 0.79439398 0.753745  ]","[21.39974243 21.39974243 21.39974243 21.39974243  5.14015056 -5.69957735
 -1.82824595  1.0752526   3.33352925  5.14015056  6.61829528  7.85008254
  2.63867489  3.97875115  5.14015056  6.15637506]"
"[0.1440103  0.1440103  0.1440103  0.1440103  0.79439398 0.6859967
 0.60857007 0.5505001  0.50533457 0.46920214 0.43963925 0.4150035
 0.39415787 0.37629019 0.57759942 0.5505001 ]","[21.39974243 21.39974243 21.39974243 21.39974243  5.14015056  7.85008254
  9.78574824 11.23749752 12.36663584 13.2699465  14.00901886 14.62491249
 15.14605325 15.59274534 10.56001452 11.23749752]"
"[0.1440103  0.1440103  0.1440103  0.9569899  0.79439398 0.6859967
 0.60857007 0.9569899  0.86665883 0.79439398 0.73526819 0.6859967
 0.64430544 0.60857007 0.57759942 0.5505001 ]","[21.39974243 21.39974243 21.39974243  1.0752526   5.14015056  7.85008254
  9.78574824  1.0752526   3.33352925  5.14015056  6.61829528  7.85008254
  8.89236407  9.78574824 10.56001452 11.23749752]"
"[0.1440103  0.1440103  0.1440103  0.1440103  0.79439398 0.6859967
 1.07312984 0.9569899  0.86665883 0.79439398 0.73526819 0.6859967
 0.64430544 0.60857007 0.57759942 0.5505001 ]","[21.39974243 21.39974243 21.39974243 21.39974243  5.14015056  7.85008254
 -1.82824595  1.0752526   3.33352925  5.14015056  6.61829528  7.85008254
  8.89236407  9.78574824 10.56001452 11.23749752]"
"[3.39592868 1.76996949 1.22798309 0.9569899  0.79439398 0.6859967
 0.60857007 0.9569899  0.86665883 0.79439398 0.73526819 0.6859967
 0.64430544 0.60857007 0.57759942 0.5505001 ]","[-59.89821691 -19.24923724  -5.69957735   1.0752526    5.14015056
   7.85008254   9.78574824   1.0752526    3.33352925   5.14015056
   6.61829528   7.85008254   8.89236407   9.78574824  10.56001452
  11.23749752]"
"[0.1440103  0.1440103  0.1440103  0.1440103  0.1440103  0.1440103
 0.1440103  0.1440103  0.1440103  0.46920214 0.43963925 0.4150035
 0.39415787 0.60857007 0.57759942 0.5505001 ]","[21.39974243 21.39974243 21.39974243 21.39974243 21.39974243 21.39974243
 21.39974243 21.39974243 21.39974243 13.2699465  14.00901886 14.62491249
 15.14605325  9.78574824 10.56001452 11.23749752]"
"[0.1440103 0.1440103 0.1440103 0.1440103 0.1440103 0.1440103 0.1440103
 0.1440103 0.1440103 0.1440103 0.1440103 0.1440103 0.1440103 0.1440103
 0.1440103 0.1440103]","[21.39974243 21.39974243 21.39974243 21.39974243 21.39974243 21.39974243
 21.39974243 21.39974243 21.39974243 21.39974243 21.39974243 21.39974243
 21.39974243 21.39974243 21.39974243 21.39974243]"
"[0.1440103  1.76996949 1.22798309 0.9569899  0.79439398 0.6859967
 0.60857007 0.5505001  0.50533457 0.79439398 0.73526819 0.6859967
 0.64430544 0.60857007 0.57759942 0.5505001 ]","[ 21.39974243 -19.24923724  -5.69957735   1.0752526    5.14015056
   7.85008254   9.78574824  11.23749752  12.36663584   5.14015056
   6.61829528   7.85008254   8.89236407   9.78574824  10.56001452
  11.23749752]"
"[0.1440103  1.76996949 1.22798309 0.9569899  0.79439398 0.6859967
 0.60857007 0.5505001  0.50533457 0.46920214 0.43963925 0.4150035
 0.39415787 0.37629019 0.36080486 0.3472552 ]","[ 21.39974243 -19.24923724  -5.69957735   1.0752526    5.14015056
   7.85008254   9.78574824  11.23749752  12.36663584  13.2699465
  14.00901886  14.62491249  15.14605325  15.59274534  15.97987848
  16.31861997]"
"[0.1440103  0.1440103  0.1440103  0.1440103  0.1440103  0.1440103
 0.1440103  0.1440103  0.1440103  0.1440103  0.1440103  0.1440103
 0.1440103  0.37629019 0.36080486 0.3472552 ]","[21.39974243 21.39974243 21.39974243 21.39974243 21.39974243 21.39974243
 21.39974243 21.39974243 21.39974243 21.39974243 21.39974243 21.39974243
 21.39974243 15.59274534 15.97987848 16.31861997]"
"[3.39592868 1.76996949 1.22798309 0.9569899  0.79439398 1.22798309
 1.07312984 0.9569899  0.86665883 0.79439398 0.73526819 0.6859967
 0.894453   0.84084995 0.79439398 0.753745  ]","[-59.89821691 -19.24923724  -5.69957735   1.0752526    5.14015056
  -5.69957735  -1.82824595   1.0752526    3.33352925   5.14015056
   6.61829528   7.85008254   2.63867489   3.97875115   5.14015056
   6.15637506]"
"[0.1440103  0.1440103  0.1440103  0.1440103  0.1440103  0.1440103
 0.1440103  0.1440103  0.1440103  0.1440103  0.1440103  0.4150035
 0.39415787 0.37629019 0.36080486 0.3472552 ]","[21.39974243 21.39974243 21.39974243 21.39974243 21.39974243 21.39974243
 21.39974243 21.39974243 21.39974243 21.39974243 21.39974243 14.62491249
 15.14605325 15.59274534 15.97987848 16.31861997]"
"[0.1440103 0.1440103 0.1440103 0.1440103 0.1440103 0.1440103 0.1440103
 0.1440103 0.1440103 0.1440103 0.1440103 0.1440103 0.1440103 0.1440103
 0.1440103 0.1440103]","[21.39974243 21.39974243 21.39974243 21.39974243 21.39974243 21.39974243
 21.39974243 21.39974243 21.39974243 21.39974243 21.39974243 21.39974243
 21.39974243 21.39974243 21.39974243 21.39974243]"
"[0.1440103  0.1440103  1.22798309 0.9569899  0.79439398 0.6859967
 0.60857007 0.9569899  0.86665883 0.79439398 0.73526819 0.6859967
 0.64430544 0.60857007 0.57759942 0.5505001 ]","[21.39974243 21.39974243 -5.69957735  1.0752526   5.14015056  7.85008254
  9.78574824  1.0752526   3.33352925  5.14015056  6.61829528  7.85008254
  8.89236407  9.78574824 10.56001452 11.23749752]"
"[0.1440103  0.1440103  0.1440103  0.1440103  0.1440103  0.1440103
 0.1440103  0.1440103  0.1440103  0.1440103  0.1440103  0.1440103
 0.39415787 0.37629019 0.36080486 0.5505001 ]","[21.39974243 21.39974243 21.39974243 21.39974243 21.39974243 21.39974243
 21.39974243 21.39974243 21.39974243 21.39974243 21.39974243 21.39974243
 15.14605325 15.59274534 15.97987848 11.23749752]"
"[0.1440103  0.1440103  0.1440103  0.1440103  0.1440103  0.1440103
 0.1440103  0.1440103  0.1440103  0.1440103  0.43963925 0.4150035
 0.39415787 0.37629019 0.36080486 0.3472552 ]","[21.39974243 21.39974243 21.39974243 21.39974243 21.39974243 21.39974243
 21.39974243 21.39974243 21.39974243 21.39974243 14.00901886 14.62491249
 15.14605325 15.59274534 15.97987848 16.31861997]"
"[0.1440103  1.76996949 2.31195589 1.76996949 1.44477765 1.22798309
 1.07312984 0.9569899  0.86665883 0.79439398 0.73526819 0.6859967
 0.64430544 0.60857007 0.79439398 0.753745  ]","[ 21.39974243 -19.24923724 -32.79889713 -19.24923724 -11.1194413
  -5.69957735  -1.82824595   1.0752526    3.33352925   5.14015056
   6.61829528   7.85008254   8.89236407   9.78574824   5.14015056
   6.15637506]"
"[0.1440103 0.1440103 0.1440103 0.1440103 0.1440103 0.1440103 0.1440103
 0.1440103 0.1440103 0.1440103 0.1440103 0.1440103 0.1440103 0.1440103
 0.1440103 0.1440103]","[21.39974243 21.39974243 21.39974243 21.39974243 21.39974243 21.39974243
 21.39974243 21.39974243 21.39974243 21.39974243 21.39974243 21.39974243
 21.39974243 21.39974243 21.39974243 21.39974243]"
"[0.1440103  0.1440103  0.1440103  0.1440103  0.1440103  0.1440103
 0.1440103  0.5505001  0.50533457 0.46920214 0.43963925 0.4150035
 0.39415787 0.37629019 0.36080486 0.3472552 ]","[21.39974243 21.39974243 21.39974243 21.39974243 21.39974243 21.39974243
 21.39974243 11.23749752 12.36663584 13.2699465  14.00901886 14.62491249
 15.14605325 15.59274534 15.97987848 16.31861997]"
